INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22047;2021;38;0;101618,16;1135,76;92,95;;
22048;2018;33;0;150692,15;1433,73;109,91;;
22048;2019;33;0;169049,76;1507,42;114,70;;
22048;2020;41;0;169747,32;1649,00;107,63;;
22048;2021;49;0;194948,76;1763,71;112,18;;
22049;2018;19;0;167584,21;1576,68;110,84;;
22049;2019;22;0;169232,95;1682,18;102,32;;
22049;2020;21;0;195323,81;1932,57;105,62;;
22049;2021;41;0;224035,56;2125,95;106,20;;
22050;2018;126;134;168069,45;1975,29;84,22;;
22050;2019;175;150;187332,11;2016,80;93,38;;
22050;2020;150;198;184052,18;2149,43;86,09;;
22050;2021;127;210;191514,46;2451,57;78,78;;
22052;2018;15;0;69653,33;943,93;82,33;;
22052;2019;5;0;51000,00;721,00;69,60;;
22052;2020;7;0;118705,00;1130,57;98,29;;
22052;2021;11;0;78478,64;1150,73;83,64;;
22053;2018;9;0;76007,22;951,44;80,89;;
22053;2019;7;0;88071,43;807,86;106,00;;
22053;2020;11;0;95272,73;920,82;109,27;;
22053;2021;15;0;94896,00;1354,33;80,53;;
22054;2018;62;35;200927,22;2328,93;88,38;;
22054;2019;86;45;210040,40;2546,61;86,73;;
22054;2020;80;43;254307,25;2848,83;93,90;;
22054;2021;92;30;257435,59;3291,66;85,31;;
22055;2018;104;27;185308,79;2183,95;91,12;;
22055;2019;140;32;209630,30;2378,28;93,28;;
22055;2020;133;27;230500,74;2497,19;98,31;;
22055;2021;138;32;254733,22;2792,36;93,11;;
22056;2018;20;0;133410,00;1295,75;103,40;;
22056;2019;20;0;132434,00;1472,05;91,20;;
22056;2020;25;0;160220,00;1522,96;108,08;;
22056;2021;28;0;140679,64;1485,04;93,50;;
22057;2018;7;0;92242,86;1159,43;82,14;;
22057;2019;5;0;131600,00;1310,20;103,20;;
22057;2020;8;0;126527,50;1430,75;91,50;;
22057;2021;6;0;166500,00;1750,67;96,33;;
22059;2018;12;0;158552,50;1374,33;118,50;;
22059;2019;13;0;138876,15;1270,46;115,00;;
22059;2020;10;0;165550,00;1409,70;115,10;;
22059;2021;17;0;155311,76;1448,35;112,82;;
22060;2018;4;0;68625,00;817,75;79,00;;
22060;2019;9;0;136344,44;1191,11;112,89;;
22060;2020;10;0;85915,00;1092,90;83,90;;
22060;2021;12;0;82383,33;1004,58;79,58;;
22061;2018;22;0;100454,32;1181,32;89,68;;
22061;2019;24;0;81800,83;1030,00;84,04;;
22061;2020;25;0;81029,60;1097,12;82,52;;
22061;2021;42;0;82452,98;1033,86;82,88;;
22062;2018;7;0;89285,71;1007,57;92,86;;
22062;2019;6;0;98950,00;1026,50;91,00;;
22062;2020;10;0;90700,00;914,20;99,60;;
22062;2021;18;0;96249,94;1213,89;89,56;;
22063;2018;5;0;125717,20;1088,40;113,20;;
22063;2019;18;0;89099,72;962,44;93,22;;
22063;2020;8;0;103177,88;1380,63;77,50;;
22063;2021;13;0;131933,08;1314,62;98,54;;
22064;2018;5;1;89500,00;1061,67;108,33;;
22064;2019;23;0;76667,13;920,43;89,57;;
22064;2020;14;0;77263,43;918,64;84,36;;
22064;2021;18;0;108246,11;940,50;117,17;;
22065;2018;15;0;123202,93;1111,07;105,27;;
22065;2019;19;1;145390,40;1278,65;115,25;;
22065;2020;34;0;142965,74;1462,09;102,50;;
22065;2021;34;0;140245,74;1434,56;99,59;;
22067;2018;39;0;120400,26;1219,18;99,59;;
22067;2019;44;0;122156,86;1305,89;98,02;;
22067;2020;39;0;133598,38;1375,10;98,33;;
22067;2021;54;0;130409,81;1370,93;97,52;;
22068;2018;1;0;93000,00;1177,00;79,00;;
22068;2019;8;0;73125,00;774,13;94,50;;
22068;2020;6;0;108166,67;1000,17;98,83;;
